,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,player,season,tweet_username,media_type
0,1290721095885230080,1290721095885230080,1596566864000.0,2020-08-04 18:47:44,+0000,,"Liam, @Giannis_An34's son, was spotted in the stands as a virtual fan ❤️  https://t.co/d2rcBVU2Iu",en,[],[],2557521.0,2557521,espn,ESPN,2.0,18,https://twitter.com/espn/status/1290721095885230080,[],[],1.0,https://pbs.twimg.com/media/EemP_gtX0AEv1zE.png,False,2978.0,30.0,197.0,,Giannis Antetokounmpo,,,,,,,[],,,,,Giannis Antetokounmpo,2019-2020,espn,outlet
1,1289371037654642688,1289371037654642688,1596244985000.0,2020-08-01 01:23:05,+0000,,MVP mode 💪 @Giannis_An34  https://t.co/OSvLq3N596,da,[],[],2557521.0,2557521,espn,ESPN,6.0,01,https://twitter.com/espn/status/1289371037654642688,[],['https://pbs.twimg.com/media/EeTEIDlXYAIsiWG.jpg'],1.0,https://pbs.twimg.com/media/EeTEIDlXYAIsiWG.jpg,False,7267.0,199.0,759.0,,Giannis Antetokounmpo,,,,,,,[],,,,,Giannis Antetokounmpo,2019-2020,espn,outlet
2,1275984239952101376,1275984239952101376,1593053324000.0,2020-06-25 02:48:44,+0000,,.@Giannis_An34 became NBA MVP a year ago today 👏  https://t.co/5odRbJVg6V,en,[],[],2557521.0,2557521,espn,ESPN,4.0,02,https://twitter.com/espn/status/1275984239952101376,[],[],1.0,https://pbs.twimg.com/media/EbU05rVWkAAQn1c.png,False,4490.0,60.0,460.0,,Giannis Antetokounmpo,,,,,,,[],,,,,Giannis Antetokounmpo,2019-2020,espn,outlet
3,1242131166146199562,1242131166146199562,1584982122000.0,2020-03-23 16:48:42,+0000,,Is @Giannis_An34 the NBA MVP?  60 of the 70 media members we polled gave him their first-place votes 😤  https://t.co/foSvbKvpvJ  https://t.co/mwA6hrlG8K,en,[],[],2557521.0,2557521,espn,ESPN,1.0,16,https://twitter.com/espn/status/1242131166146199562,['https://es.pn/2vMXVBA'],['https://pbs.twimg.com/media/ETzvtjZXQAMAOoU.jpg'],1.0,https://pbs.twimg.com/media/ETzvtjZXQAMAOoU.jpg,False,2035.0,144.0,208.0,,Giannis Antetokounmpo,,,,,,,[],,,,,Giannis Antetokounmpo,2019-2020,espn,outlet
4,1229539079282470912,1229539079282470912,1581979934000.0,2020-02-17 22:52:14,+0000,,.@Giannis_An34 was about to break out the Renegade dance 😂  (via @Bucks)  https://t.co/o2qmQG4XWr,en,[],[],2557521.0,2557521,espn,ESPN,1.0,22,https://twitter.com/espn/status/1229539079282470912,[],[],1.0,https://pbs.twimg.com/amplify_video_thumb/1229537585652998144/img/JEzCtaX4Sya0Miok.jpg,False,6531.0,34.0,449.0,,Giannis Antetokounmpo,,,,,,,[],,,,,Giannis Antetokounmpo,2019-2020,espn,outlet
5,1220497811147456513,1220497811147456513,1579824328000.0,2020-01-24 00:05:28,+0000,,2020 #NBAAllStar East starters 🌟  Giannis Antetokounmpo (Captain) Pascal Siakam Joel Embiid Kemba Walker Trae Young  https://t.co/yKvHeM4s2s,in,['nbaallstar'],[],2557521.0,2557521,espn,ESPN,5.0,00,https://twitter.com/espn/status/1220497811147456513,[],['https://pbs.twimg.com/media/EPAUSgOW4AcHDcG.jpg'],1.0,https://pbs.twimg.com/media/EPAUSgOW4AcHDcG.jpg,False,7949.0,415.0,1714.0,,Giannis Antetokounmpo,,,,,,,[],,,,,Giannis Antetokounmpo,2019-2020,espn,outlet
0,1287210209191038977,1287210209191038977,1595729803000.0,2020-07-26 02:16:43,+0000,,.@Giannis_An34 impersonating @Rachel__Nichols is comedy 😅  https://t.co/Rj7Z0BJBRj,en,[],[],74518740.0,74518740,ESPNNBA,NBA on ESPN,7.0,02,https://twitter.com/ESPNNBA/status/1287210209191038977,[],[],1.0,https://pbs.twimg.com/media/Ed0W295XgAAc_K5.png,False,1621.0,27.0,114.0,,Giannis Antetokounmpo,,,,,,,[],,,,,Giannis Antetokounmpo,2019-2020,ESPNNBA,outlet
1,1285743859486601216,1285743859486601216,1595380198000.0,2020-07-22 01:09:58,+0000,,.@Giannis_An34 hitting threes at practice 👌  (via @Rachel__Nichols)  https://t.co/dk61y41UnL,en,[],[],74518740.0,74518740,ESPNNBA,NBA on ESPN,3.0,01,https://twitter.com/ESPNNBA/status/1285743859486601216,[],[],1.0,https://pbs.twimg.com/ext_tw_video_thumb/1285740334375473153/pu/img/kaePFG0GMaIPtBF8.jpg,False,1305.0,85.0,149.0,,Giannis Antetokounmpo,,,,,,,[],,,,,Giannis Antetokounmpo,2019-2020,ESPNNBA,outlet
2,1283783284527435777,1283783284527435777,1594912761000.0,2020-07-16 15:19:21,+0000,,"Freaky!  @Giannis_An34's second signature, the Nike Zoom Freak 2 has been officially unveiled 🦌🇬🇷  (📸: Nike | h/t Sneakercenter/Instagram)  https://t.co/A58hGsPlDM",en,[],[],74518740.0,74518740,ESPNNBA,NBA on ESPN,4.0,15,https://twitter.com/ESPNNBA/status/1283783284527435777,[],"['https://pbs.twimg.com/media/EdDqFQ6WkAMgHYD.png', 'https://pbs.twimg.com/media/EdDqFhCXoAIcMIT.png', 'https://pbs.twimg.com/media/EdDqFw4WAAAhEaW.png', 'https://pbs.twimg.com/media/EdDqF-RXoAEFbK8.png']",1.0,https://pbs.twimg.com/media/EdDqFQ6WkAMgHYD.png,False,1149.0,19.0,177.0,,Giannis Antetokounmpo,,,,,,,[],,,,,Giannis Antetokounmpo,2019-2020,ESPNNBA,outlet
3,1278397780051005445,1278397780051005445,1593628756000.0,2020-07-01 18:39:16,+0000,,"The path to the NBA title is tougher than ever, according to Giannis Antetokounmpo.  https://t.co/9NfBFoRHIa",en,[],[],74518740.0,74518740,ESPNNBA,NBA on ESPN,3.0,18,https://twitter.com/ESPNNBA/status/1278397780051005445,[],['https://pbs.twimg.com/media/Eb3IAYVWkAESRXB.jpg'],1.0,https://pbs.twimg.com/media/Eb3IAYVWkAESRXB.jpg,False,2066.0,41.0,214.0,,Giannis Antetokounmpo,,,,,,,[],,,,,Giannis Antetokounmpo,2019-2020,ESPNNBA,outlet
