,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,player,season,tweet_username,media_type
0,1107356066533249025,1107356066533249025,1552849234000.0,2019-03-17 19:00:34,+0000,,The best record in The Association.  All-Star captain.  MVP-caliber resume.  @Giannis_An34 is creating modern-day Greek mythology this season 📜  https://t.co/Yp6Nli9Mju,en,[],[],74518740.0,74518740,ESPNNBA,NBA on ESPN,7.0,19,https://twitter.com/ESPNNBA/status/1107356066533249025,[],[],1.0,https://pbs.twimg.com/ext_tw_video_thumb/1107355967530897408/pu/img/cXbuqjCKOG48Skr4.jpg,False,279.0,6.0,51.0,,Giannis Antetokounmpo,,,,,,,[],,,,,Giannis Antetokounmpo,2018-2019,ESPNNBA,outlet
1,1101726972789440512,1101726972789440512,1551507154000.0,2019-03-02 06:12:34,+0000,,The All-Star captains battled out in LA.   @Giannis_An34 got the W this time.  https://t.co/fTEru51ftJ,en,[],[],74518740.0,74518740,ESPNNBA,NBA on ESPN,6.0,06,https://twitter.com/ESPNNBA/status/1101726972789440512,[],['https://pbs.twimg.com/media/D0oe17GX0AEHyL9.jpg'],1.0,https://pbs.twimg.com/media/D0oe17GX0AEHyL9.jpg,False,806.0,19.0,121.0,,Giannis Antetokounmpo,,,,,,,[],,,,,Giannis Antetokounmpo,2018-2019,ESPNNBA,outlet
2,1097312665481949184,1097312665481949184,1550454701000.0,2019-02-18 01:51:41,+0000,,.@Giannis_An34 is currently out-dunking everyone else 5-3 💪  https://t.co/6hCHFsNjFY,en,[],[],74518740.0,74518740,ESPNNBA,NBA on ESPN,1.0,01,https://twitter.com/ESPNNBA/status/1097312665481949184,[],['https://pbs.twimg.com/media/DzpwDawWkAAHXlV.jpg'],1.0,https://pbs.twimg.com/media/DzpwDawWkAAHXlV.jpg,False,415.0,5.0,59.0,,Giannis Antetokounmpo,,,,,,,[],,,,,Giannis Antetokounmpo,2018-2019,ESPNNBA,outlet
3,1093361980130447360,1093361980130447360,1549512784000.0,2019-02-07 04:13:04,+0000,,"""...I know I’m going to draft Steph Curry first from the starters. And for the reserves, I’m going to draft Khris Middleton.""  —@Giannis_An34  https://t.co/HAKW6gCc75",en,[],[],74518740.0,74518740,ESPNNBA,NBA on ESPN,4.0,04,https://twitter.com/ESPNNBA/status/1093361980130447360,[],[],1.0,https://pbs.twimg.com/ext_tw_video_thumb/1093361925566722048/pu/img/7Z71gfEZIvK8c33S.jpg,False,2806.0,20.0,291.0,,Giannis Antetokounmpo,,,,,,,[],,,,,Giannis Antetokounmpo,2018-2019,ESPNNBA,outlet
4,1091884864431902720,1091884864431902720,1549160612000.0,2019-02-03 02:23:32,+0000,,.@Giannis_An34 made the most FT without a miss in Bucks history 💯  https://t.co/tT8WN7Rn6h,en,[],[],74518740.0,74518740,ESPNNBA,NBA on ESPN,7.0,02,https://twitter.com/ESPNNBA/status/1091884864431902720,[],['https://pbs.twimg.com/media/Dycnf0-WoAMFPn_.jpg'],1.0,https://pbs.twimg.com/media/Dycnf0-WoAMFPn_.jpg,False,8490.0,50.0,1034.0,,Giannis Antetokounmpo,,,,,,,[],,,,,Giannis Antetokounmpo,2018-2019,ESPNNBA,outlet
5,1088284271205335040,1088284271205335040,1548302164000.0,2019-01-24 03:56:04,+0000,,.@JColeNC dropped MIDDLE CHILD and showed some love to @Giannis_An34 🐐  https://t.co/rydGuYEuXk,en,[],[],74518740.0,74518740,ESPNNBA,NBA on ESPN,4.0,03,https://twitter.com/ESPNNBA/status/1088284271205335040,[],['https://pbs.twimg.com/media/DxpcxucX0AESxaC.jpg'],1.0,https://pbs.twimg.com/media/DxpcxucX0AESxaC.jpg,False,782.0,7.0,128.0,,Giannis Antetokounmpo,,,,,,,[],,,,,Giannis Antetokounmpo,2018-2019,ESPNNBA,outlet
6,1085720311411044352,1085720311411044352,1547690868000.0,2019-01-17 02:07:48,+0000,,.@Giannis_An34: king of the Euro step dunk 🔨  https://t.co/m3LvC8CnmE,en,[],[],74518740.0,74518740,ESPNNBA,NBA on ESPN,4.0,02,https://twitter.com/ESPNNBA/status/1085720311411044352,[],[],1.0,https://pbs.twimg.com/ext_tw_video_thumb/1085720260257480711/pu/img/OBRNig1DqOSzhzyL.jpg,False,1578.0,19.0,232.0,,Giannis Antetokounmpo,,,,,,,[],,,,,Giannis Antetokounmpo,2018-2019,ESPNNBA,outlet
7,1083224041396281345,1083224041396281345,1547095711000.0,2019-01-10 04:48:31,+0000,,Fan favorite!  @Giannis_An34 made sure to spend some time pregame with his fans 👏 (via @NBA)  https://t.co/jM0OLYna7D,en,[],[],74518740.0,74518740,ESPNNBA,NBA on ESPN,4.0,04,https://twitter.com/ESPNNBA/status/1083224041396281345,['https://twitter.com/NBA/status/1083166848609386497/video/1'],[],0.0,,False,861.0,7.0,73.0,,Giannis Antetokounmpo,,,,,,,[],,,,,Giannis Antetokounmpo,2018-2019,ESPNNBA,outlet
8,1081673127355011072,1081340930765045760,1546725944000.0,2019-01-05 22:05:44,+0000,,It's all good. @TheRock loves @Giannis_An34 😂  https://t.co/P50iTMEYgT,en,[],[],74518740.0,74518740,ESPNNBA,NBA on ESPN,6.0,22,https://twitter.com/ESPNNBA/status/1081673127355011072,[],['https://pbs.twimg.com/media/DwLez3uX0AE2UW3.jpg'],1.0,https://pbs.twimg.com/media/DwLez3uX0AE2UW3.jpg,False,8552.0,30.0,1058.0,,Giannis Antetokounmpo,,,,,,,[],,,,,Giannis Antetokounmpo,2018-2019,ESPNNBA,outlet
9,1080596948158156802,1080596948158156802,1546469363000.0,2019-01-02 22:49:23,+0000,,Looks like @TheRock is loving the Bucks' Iron Paradise.  (via @Giannis_An34)  https://t.co/0bBbLZc2AU,en,[],[],74518740.0,74518740,ESPNNBA,NBA on ESPN,3.0,22,https://twitter.com/ESPNNBA/status/1080596948158156802,[],[],1.0,https://pbs.twimg.com/ext_tw_video_thumb/1080596877794512896/pu/img/n-v0q-w0oEI7OWIq.jpg,False,817.0,5.0,72.0,,Giannis Antetokounmpo,,,,,,,[],,,,,Giannis Antetokounmpo,2018-2019,ESPNNBA,outlet
10,1079840528534028288,1079840528534028288,1546289019000.0,2018-12-31 20:43:39,+0000,,"Get out of the way, @TheRock.  Giannis thinks he can lift more than you 💪 (via @Giannis_An34)  https://t.co/pfrnCzdpW5",en,[],[],74518740.0,74518740,ESPNNBA,NBA on ESPN,1.0,20,https://twitter.com/ESPNNBA/status/1079840528534028288,[],[],1.0,https://pbs.twimg.com/ext_tw_video_thumb/1079840476746956800/pu/img/c0m_aVj65OLfJLZy.jpg,False,2805.0,35.0,326.0,,Giannis Antetokounmpo,,,,,,,[],,,,,Giannis Antetokounmpo,2018-2019,ESPNNBA,outlet
