,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,player,season,tweet_username,media_type
0,711306091397644288,711306091397644288,1458423562000.0,2016-03-19 21:39:22,+0000,,Tyler Ulis showed Steph Curry range on this three.   https://t.co/6IWSxxV6Lj,en,[],[],14885860.0,14885860,CBSSports,CBS Sports,6.0,21,https://twitter.com/CBSSports/status/711306091397644288,['http://snpy.tv/1RtGZ0d'],[],0.0,,False,138.0,1.0,111.0,,steph Curry,,,,,,,[],,,,,steph Curry,2015-2016,CBSSports,outlet
1,703012339218513920,703012339218513920,1456446177000.0,2016-02-26 00:22:57,+0000,,Steph Curry continues to make history from beyond the arc.  https://t.co/ccGETQ5Vn3,en,[],[],14885860.0,14885860,CBSSports,CBS Sports,5.0,00,https://twitter.com/CBSSports/status/703012339218513920,[],['https://pbs.twimg.com/media/CcGXbp7WIAEET5V.jpg'],1.0,https://pbs.twimg.com/media/CcGXbp7WIAEET5V.jpg,False,107.0,2.0,79.0,,steph Curry,,,,,,,[],,,,,steph Curry,2015-2016,CBSSports,outlet
2,695079962936762368,695079962936762368,1454554951000.0,2016-02-04 03:02:31,+0000,,Steph Curry needs 3 three-pointers in the fourth quarter to break the NBA single-game record. Will he do it?,en,[],[],14885860.0,14885860,CBSSports,CBS Sports,4.0,03,https://twitter.com/CBSSports/status/695079962936762368,[],[],0.0,,False,46.0,3.0,60.0,,steph Curry,,,,,,,[],,,,,steph Curry,2015-2016,CBSSports,outlet
3,691849183599419392,691849183599419392,1453784673000.0,2016-01-26 05:04:33,+0000,,Just watching Steph Curry go to work like...  https://t.co/XaJDg3v1fG,en,[],[],14885860.0,14885860,CBSSports,CBS Sports,2.0,05,https://twitter.com/CBSSports/status/691849183599419392,[],['https://pbs.twimg.com/tweet_video_thumb/CZnxKipWQAA10tG.png'],1.0,https://pbs.twimg.com/tweet_video_thumb/CZnxKipWQAA10tG.png,False,292.0,10.0,314.0,,steph Curry,,,,,,,[],,,,,steph Curry,2015-2016,CBSSports,outlet
4,678050661116735488,678050661116735488,1450494849000.0,2015-12-19 03:14:09,+0000,,"Nothing new, just Steph Curry being absolutely ridiculous. (Via @warriors)  https://t.co/ryjR3IgwLF",en,[],[],14885860.0,14885860,CBSSports,CBS Sports,6.0,03,https://twitter.com/CBSSports/status/678050661116735488,[],[],1.0,https://pbs.twimg.com/ext_tw_video_thumb/678041033054130176/pu/img/y2fDyNs5PWHtHvVM.jpg,False,662.0,34.0,625.0,,steph Curry,,,,,,,[],,,,,steph Curry,2015-2016,CBSSports,outlet
5,673298259520061440,673298259520061440,1449361789000.0,2015-12-06 00:29:49,+0000,,"Not looking to start a controversy or anything here with this take, but Steph Curry might be good at basketball.  https://t.co/Ofdu9OID8T",en,[],[],14885860.0,14885860,CBSSports,CBS Sports,7.0,00,https://twitter.com/CBSSports/status/673298259520061440,[],['https://pbs.twimg.com/media/CVgJMfDW4AEATgN.jpg'],1.0,https://pbs.twimg.com/media/CVgJMfDW4AEATgN.jpg,False,123.0,10.0,62.0,,steph Curry,,,,,,,[],,,,,steph Curry,2015-2016,CBSSports,outlet
6,671545673066618880,671545673066618880,1448943939000.0,2015-12-01 04:25:39,+0000,,Guess what... Steph Curry hit an extremely clutch shot to lift the Warriors to a win.  https://t.co/BjTGuZxD8Q,en,[],[],14885860.0,14885860,CBSSports,CBS Sports,2.0,04,https://twitter.com/CBSSports/status/671545673066618880,[],[],1.0,https://pbs.twimg.com/ext_tw_video_thumb/671545059804770308/pu/img/RTKZcrPRI0pIDJJS.jpg,False,153.0,6.0,154.0,,steph Curry,,,,,,,[],,,,,steph Curry,2015-2016,CBSSports,outlet
7,667940569419784192,667940569419784192,1448084416000.0,2015-11-21 05:40:16,+0000,,It's the Kirk Hinrich vs. Steph Curry duel we've all been waiting for.,en,[],[],14885860.0,14885860,CBSSports,CBS Sports,6.0,05,https://twitter.com/CBSSports/status/667940569419784192,[],[],0.0,,False,95.0,2.0,64.0,,steph Curry,,,,,,,[],,,,,steph Curry,2015-2016,CBSSports,outlet
8,665010114118701056,665010114118701056,1447385741000.0,2015-11-13 03:35:41,+0000,,Quick reminder that the Wolves passed on Steph Curry twice... and they reeeeally missed that second time.  https://t.co/eUZ6Ya5tT9,en,[],[],14885860.0,14885860,CBSSports,CBS Sports,5.0,03,https://twitter.com/CBSSports/status/665010114118701056,[],['https://pbs.twimg.com/media/CTqW_NTWwAIbsiT.jpg'],1.0,https://pbs.twimg.com/media/CTqW_NTWwAIbsiT.jpg,False,314.0,23.0,405.0,,steph Curry,,,,,,,[],,,,,steph Curry,2015-2016,CBSSports,outlet
9,659241885568016384,659241885568016384,1446010488000.0,2015-10-28 05:34:48,+0000,,Steph Curry was in his element tonight.  https://t.co/FqBmW7u7xc,en,[],[],14885860.0,14885860,CBSSports,CBS Sports,3.0,05,https://twitter.com/CBSSports/status/659241885568016384,[],['https://pbs.twimg.com/media/CSYY9NcXAAAo8Kw.jpg'],1.0,https://pbs.twimg.com/media/CSYY9NcXAAAo8Kw.jpg,False,364.0,8.0,333.0,,steph Curry,,,,,,,[],,,,,steph Curry,2015-2016,CBSSports,outlet
10,655606168300097536,655606168300097536,1445143665000.0,2015-10-18 04:47:45,+0000,,"When you slip, you look like a fool.   When Steph Curry slips, he does this:  http://t.co/trGC2ZcrDk",en,[],[],14885860.0,14885860,CBSSports,CBS Sports,7.0,04,https://twitter.com/CBSSports/status/655606168300097536,['http://vine.co/v/e9OB9OjLDjW'],[],0.0,,False,1399.0,23.0,1664.0,,steph Curry,,,,,,,[],,,,,steph Curry,2015-2016,CBSSports,outlet
