,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,player,season,tweet_username,media_type
0,564991286633971712,564991286633971712,1423539394000.0,2015-02-10 03:36:34,+0000,,"When @Monedavis11 met @StephenCurry30 before @warriors-@Sixers, someone got a bit starstruck. (It wasn't Davis.)  http://t.co/FW7WdXqd9w",en,[],[],2557521.0,2557521,espn,ESPN,2.0,03,https://twitter.com/espn/status/564991286633971712,['http://es.pn/1AdmuAN'],[],0.0,,False,181.0,6.0,76.0,,steph Curry,,,,,,,[],,,,,steph Curry,2014-2015,espn,outlet
1,553652963894247424,553652963894247424,1420836127000.0,2015-01-09 20:42:07,+0000,,"When @StephenCurry30 goes off, the ESPN cafeteria celebrates his performance ... or so he thinks. #ThisIsSportsCenter  http://t.co/OeAt6bGyAF",en,['thisissportscenter'],[],2557521.0,2557521,espn,ESPN,5.0,20,https://twitter.com/espn/status/553652963894247424,['http://es.pn/14b9fmL'],[],0.0,,False,1670.0,58.0,1583.0,,steph Curry,,,,,,,[],,,,,steph Curry,2014-2015,espn,outlet
2,543888850926698496,543888850926698496,1418508181000.0,2014-12-13 22:03:01,+0000,,All @StephenCurry30 wanted to do was get @Mospeights16 his lost shoe. @tysonchandler had other ideas:  http://t.co/ykDkuP0nI6,en,[],[],2557521.0,2557521,espn,ESPN,6.0,22,https://twitter.com/espn/status/543888850926698496,['http://es.pn/1GlXXKZ'],[],0.0,,False,749.0,76.0,605.0,,steph Curry,,,,,,,[],,,,,steph Curry,2014-2015,espn,outlet
3,525724836895928320,525724836895928320,1414177543000.0,2014-10-24 19:05:43,+0000,,Our @ESPNNBA #NBARank 6-10 spots have been unveiled with Steph Curry grabbing the 6 spot.  http://t.co/QjDZ84CZ71  http://t.co/hoJILszWQB,en,['nbarank'],[],2557521.0,2557521,espn,ESPN,5.0,19,https://twitter.com/espn/status/525724836895928320,['http://es.pn/1z51pbx'],['https://pbs.twimg.com/tweet_video_thumb/B0u_86FCUAAH36q.png'],1.0,https://pbs.twimg.com/tweet_video_thumb/B0u_86FCUAAH36q.png,False,292.0,33.0,177.0,,steph Curry,,,,,,,[],,,,,steph Curry,2014-2015,espn,outlet
4,525281362866348032,525281362866348032,1414071810000.0,2014-10-23 13:43:30,+0000,,"Pro tip: If @StephenCurry30 isn't on your team, don't throw your inbounds pass to him...he'll hit a wide-open 3:  http://t.co/0Xc2E2IMDs",en,[],[],2557521.0,2557521,espn,ESPN,4.0,13,https://twitter.com/espn/status/525281362866348032,['http://es.pn/10qBtJr'],[],0.0,,False,687.0,14.0,593.0,,steph Curry,,,,,,,[],,,,,steph Curry,2014-2015,espn,outlet
0,577215953995501568,577215953995501568,1426453982000.0,2015-03-15 21:13:02,+0000,,Matt Barnes​ drew a flagrant for this vicious throwdown of James Harden in the first half of Rockets​-Clippers​:  http://t.co/ExGKPgiw5E,en,[],[],2557521.0,2557521,espn,ESPN,7.0,21,https://twitter.com/espn/status/577215953995501568,['http://es.pn/1xq8Fu2'],[],0.0,,False,474.0,99.0,375.0,,James Harden,,,,,,,[],,,,,James Harden,2014-2015,espn,outlet
1,576521738802110466,576521738802110466,1426288468000.0,2015-03-13 23:14:28,+0000,,Who is @DwightHoward's pick for @NBA MVP (other than teammate @JHarden13)? He joined @SportsNation to discuss:  http://t.co/t6S91D8Nkg,en,[],[],2557521.0,2557521,espn,ESPN,5.0,23,https://twitter.com/espn/status/576521738802110466,['http://es.pn/1MzjVve'],[],0.0,,False,212.0,12.0,87.0,,James Harden,,,,,,,[],,,,,James Harden,2014-2015,espn,outlet
2,572262492451299328,572262492451299328,1425272984000.0,2015-03-02 05:09:44,+0000,,"The Houston Rockets​ seemed to troll LeBron James​ with this rather bold claim about James Harden and ""The King"":  http://t.co/uy4bZd8Gh4",en,[],[],2557521.0,2557521,espn,ESPN,1.0,05,https://twitter.com/espn/status/572262492451299328,['http://es.pn/1aIl33G'],[],0.0,,False,300.0,41.0,194.0,,James Harden,,,,,,,[],,,,,James Harden,2014-2015,espn,outlet
3,572182606554533890,572182606554533890,1425253938000.0,2015-03-01 23:52:18,+0000,,ICYMI: James Harden got a flagrant foul for this below-the-belt kick on LeBron James​ in the Rockets' OT win Sunday:  http://t.co/fbXe3Jz0JS,en,[],[],2557521.0,2557521,espn,ESPN,7.0,23,https://twitter.com/espn/status/572182606554533890,['http://es.pn/1G8mFAE'],[],0.0,,False,585.0,80.0,483.0,,James Harden,,,,,,,[],,,,,James Harden,2014-2015,espn,outlet
4,570071075427471360,570071075427471360,1424750510000.0,2015-02-24 04:01:50,+0000,,Uh oh. Ricky Rubio's ankles might not be OK after this insane crossover by James Harden.  http://t.co/KyEve7CTrL,en,[],[],2557521.0,2557521,espn,ESPN,2.0,04,https://twitter.com/espn/status/570071075427471360,['http://es.pn/18gN2GO'],[],0.0,,False,1821.0,372.0,2812.0,,James Harden,,,,,,,[],,,,,James Harden,2014-2015,espn,outlet
